[2025-08-06T13:26:08.802439+07:00] DeveloperAnnur\Belajar\PHP\MVC\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2025-08-06T13:26:08.804526+07:00] DeveloperAnnur\Belajar\PHP\MVC\HandlerTest.INFO: Selamat datang di Ngaji Fuadi [] []
[2025-08-06T13:28:18.883596+07:00] DeveloperAnnur\Belajar\PHP\MVC\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2025-08-07T09:46:37.864274+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-28 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864323+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-29 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864369+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-30 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864489+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-31 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864543+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-32 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864589+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-33 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864635+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-34 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864681+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-35 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864726+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-36 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864772+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-37 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864816+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-38 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864862+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-39 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864906+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-40 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864952+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-41 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
[2025-08-07T09:46:37.864996+07:00] DeveloperAnnur\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-42 [] {"hostname":"Quran","memory_usage":"4 MB","git":{"branch":"master","commit":"1b05cd5ec07f4c86d30264bcd3c4552fe3d64c19"}}
